RedniBroj,Takson,Brojnost,Pokrovnost,Spratovnost,Broj_snimka,pokrovnost_snimka_po_zonama,Datum,Lokalitet,Vlažnost_Kojić1997,Kiselost_Kojić1997,Azot_Kojić1997,Svetlost_Kojić1997,Temperatura_Kojić1997,sintaksonomski element,LIGHT_Tichy_etal2023,TEMPERATURE_Tichy_etal2023,MOISTURE_Tichy_etal2023,REACTION_Tichy_etal2023,NUTRIENTS_Tichy_etal2023,SALINITY_Tichy_etal2023
66,Ornithogalum umbellatum,2,2,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,3,4,3,4,4,nema,6.6,x,x,7,5.9,0.1
67,Fragaria vesca,2,2,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,3,3,3,3,3,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",6.7,x,4.9,6.8,5,0
68,? Festuca sp.,4,6,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
69,? Brasicaceae,1,1,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
70,Teucrium polium,1,2,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,0,0,0,0,0,nema,8.5,x,2.9,x,2.1,0.5
71,Chrysopogon gryllus,4,6,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,2,3,2,4,5,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",8.5,x,3.8,7.3,3,0
72,Taraxacum sp.,2,2,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
73,Sanguisorba minor,2,2,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,2,4,2,4,3,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",7.4,6.1,3.4,7.4,2.5,0.1
74,Eryngium campestre,2,2,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,1,4,3,4,4,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",8.7,x,3,7.5,3.3,0
75,Achillea clypeolata,2,2,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,3,5,2,4,3,nema,8.4,7.1,3.2,7.2,2.7,0.1
76,Anacamptis morio subsp. caucasica,2,1,C,7,B2 - 1%; C - 90%; C1 - 30%,24.4.2023,Periš-Okruglica,2,3,2,3,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.6,x,x,x,3.1,0.1
77,Trifolium pratense,2,1,C,7,B2 - 1%; C - 90%; C1 - 30%,24.4.2023,Periš-Okruglica,3,3,3,3,3,"5,1 - Klasa Molinio-Arrhenatheretea R.Tx. 1937: Higro-mezofilne livadske zajednice",7.3,4.3,x,5.9,x,0.1
78,Juniperus communis,2,2,B2,7,B2 - 1%; C - 90%; C1 - 30%,24.4.2023,Periš-Okruglica,2,3,2,4,3,nema,8.1,3.8,x,x,2.6,0
79,Carex caryophyllea,2,2,C,7,B2 - 1%; C - 90%; C1 - 30%,24.4.2023,Periš-Okruglica,2,3,2,4,3,"5,2 Klasa Festuco-Brometea Br-Bl et R.Tx 1943: Kserofilne i polukserofilne livadske, livadsko-stepske i stepske bilne zajednica",7.9,x,4.2,x,2,0
80,? Festuca sp.,4,5,C,7,B2 - 1%; C - 90%; C1 - 30%,24.4.2023,Periš-Okruglica,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
81,Chrysopogon gryllus,4,5,C,7,B2 - 1%; C - 90%; C1 - 30%,24.4.2023,Periš-Okruglica,2,3,2,4,5,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",8.5,x,3.8,7.3,3,0
82,Eryngium campestre,1,2,C,7,B2 - 1%; C - 90%; C1 - 30%,24.4.2023,Periš-Okruglica,1,4,3,4,4,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",8.7,x,3,7.5,3.3,0
83,MAHOVINE,0,0,C1,7,B2 - 1%; C - 90%; C1 - 30%,24.4.2023,Periš-Okruglica,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
84,Orchis purpurea,4,3,C,8,"B2 - 20%; C - 30%; C1 - 30%, kamen 70%",24.4.2023,okolina Svrljiga,3,4,3,3,4,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",5.5,6.9,4.3,8,3.2,0
